Bucco macrodactylus
Bucco tamatia
Bucco capensis
Nystalus striolatus
Nystalus chacuru
Nystalus maculatus
Nystalus striatipectus
Malacoptila fusca
Malacoptila semicincta
Malacoptila striata
Malacoptila rufa
Micromonacha lanceolata
Nonnula rubecula
Nonnula sclateri
Nonnula ruficapilla
Nonnula amaurocephala
Monasa atra
Monasa nigrifrons
Monasa morphoeus
Monasa flavirostris
Chelidoptera tenebrosa
PICIFORMES 
Capitonidae 
Capito aurovirens
Capito dayi
Capito brunneipectus
Capito niger
Capito auratus
Eubucco richardsoni
Eubucco tucinkae
Ramphastidae 
Ramphastos toco
Ramphastos tucanus
Ramphastos vitellinus
Ramphastos dicolorus
Aulacorhynchus atrogularis
Aulacorhynchus derbianus
Selenidera piperivora
Selenidera reinwardtii
Selenidera nattereri
Selenidera gouldii
Selenidera maculirostris
Pteroglossus bailloni
Pteroglossus viridis
Pteroglossus inscriptus
Pteroglossus bitorquatus
Pteroglossus azara
Pteroglossus mariae
Pteroglossus aracari
Pteroglossus castanotis
Pteroglossus pluricinctus
Pteroglossus beauharnaesii
Picidae 
Picumnus aurifrons
Picumnus pumilus
Picumnus lafresnayi
Picumnus exilis
Picumnus spilogaster
Picumnus pygmaeus
Picumnus varzeae
Picumnus cirratus
Picumnus temminckii
Picumnus albosquamatus
Picumnus fuscus
Picumnus rufiventris
Picumnus fulvescens
Picumnus limae
Picumnus nebulosus
Picumnus castelnau
Picumnus subtilis
Melanerpes candidus
Melanerpes cruentatus
Melanerpes flavifrons
Melanerpes cactorum
Veniliornis kirkii
Veniliornis cassini
Veniliornis affinis
Veniliornis maculifrons
Veniliornis passerinus
Veniliornis spilogaster
Veniliornis mixtus
Piculus leucolaemus
Piculus flavigula
Piculus chrysochloros
Piculus aurulentus
Colaptes rubiginosus
Colaptes punctigula
Colaptes melanochloros
Colaptes campestris
Celeus undatus
Celeus grammicus
Celeus elegans
Celeus lugubris
Celeus flavescens
Celeus flavus
Celeus spectabilis
Celeus obrieni
Celeus torquatus
Dryocopus galeatus
Dryocopus lineatus
