"captureId","station","data","netNumber","captureTime","bander","captureCode","bandSize","bandNumber","sppCode","sppName","notes","brood_patch_OAMa","cloacal_protuberance_OAMa","body_molt_OAMa","fat_OAMa","juvenal_feather_OAMa","pp_wear_OAMa","skull_OAMa","molt_limit_OAMa","age_wrp","age_criteria","sex","sex_criteria","flight_feather_molt_OAMa","status","wing_chord","weight_grams","bill_estriation","age_criteria_2","tail_length","r2_length","molt_description","molt_limit_OAMa_2","sex_criteria_2","tail_shape","iris_color","crown_size","tarsus","nares_to_tip","iris_color_2","crown_color","molt_description_2","previr_number","total_length","previr_number_2","lower_mandibule_color","sex_criteria_3","total_length_2","age_criteria_3","r2_length_2","bill_width","old_bandnumber","color_band","band_code","crown_color_2","molt_limit_OAMa_3","bill_estriation_2","iris_color_3","tail_length_2","tick_sample","tick_sample_2","color_band_2","r1_length","wing_chord_2","weight_grams_2","nares_to_tip_2","tarsus_2","wing_chord_3","weight_grams_3","tail_length_3","nares_to_tip_3","tarsus_3","molt_description_3","crown_color_3","bill_interior_color","bill_interior_color_2","bill_interior_color_3","crown_size_2","crown_size_3","r2_length_3","upper_mandibule_color","upper_mandibule_color_2","lower_mandibule_color_2","upper_mandibule_color_3","lower_mandibule_color_3","tick_sample_3","bill_width_2","bill_width_3","white_on_s5","white_on_s5_2","white_on_s5_3","pox_presence","r5_length","p10-ppcov","exposed_culmen"
"4700","BOA2","2023-07-18","15","113","FJC","N","G","55665","TACCOR","Tachyphonus coronatus","","0","0","0","0","0","1","5","N","MFCF","P","M","P","0","N","97","25.4","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4701","BOA2","2023-07-18","16","065","AYR","N","E","187626","CHICAU","Chiroxiphia caudata","","0","0","0","2","1","2","5","G","FCF","L","F","P","0","N","74","22.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4702","BOA2","2023-07-18","11","090","FJC","U","U","9999","THAGLA","Thalurania glaucopis","","0","0","0","0","0","1","NA","N","MFCF","P","F","P","0","N","57","NA","0","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4703","BOA2","2023-07-18","1","090","CAR","U","U","9999","THAGLA","Thalurania glaucopis","","0","0","0","0","0","1","NA","N","MFCF","P","M","P","0","N","NA","NA","0","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4704","BOA2","2023-07-18","4","094","FJC","R","E","128958","SYNCIN","Synallaxis cinerascens","","0","0","1","1","0","1","3","N","MFCF","P","U","U","0","N","61","14.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4705","BOA2","2023-07-18","1","094","DSS","E","E","187627","TANDES","Tangara desmaresti","","0","0","1","2","1","1","1","G","FCF","L","U","U","0","N","68","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4706","BOA2","2023-07-18","20","094","CAR","R","C","55063","POEPLU","Poecilotriccus plumbeiceps","","0","0","0","0","U","2","2","U","MFCF","P","U","U","0","N","43","5.7","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4707","BOA2","2023-07-18","8","094","CAR","R","F","38240","TRIMEL","Trichothraupis melanops","","0","0","0","3","0","1","5","N","DCB","P","M","P","0","N","81","22.3","","O","","","","","","","","","","","","yellow","SE789C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4708","BOA2","2023-07-18","1","094","DSS","N","E","187627","TANDES","Tangara desmaresti","","0","0","1","2","1","1","1","G","FCF","L","U","U","0","N","68","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4709","BOA2","2023-07-18","10","094","AYR","R","F","84526","TRIMEL","Trichothraupis melanops","","0","0","0","0","0","1","5","N","DCB","P","M","P","0","N","84","22.1","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710","BOA2","2023-07-18","9","094","AYR","R","C","110613","LEPAMA","Leptopogon amaurocephalus","","0","0","0","2","0","0","U","N","DCB","P","U","U","0","N","9","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4711","BOA2","2023-07-18","8","113","VAG","R","E","127798","MYILEU","Myiothlypis leucoblephara","","0","0","0","1","1","1","5","G","FCF","L","U","U","0","N","66","16.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4712","BOA2","2023-07-18","1","094","DSS","N","E","187627","CHICAU","Chiroxiphia caudata","","0","0","1","2","1","1","1","G","FCF","L","U","U","0","N","68","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4713","BOA2","2023-07-18","1","094","DSS","N","E","187628","TANDES","Tangara desmaresti","suspesto limite G","0","0","0","2","U","1","5","U","MFCF","P","U","U","0","N","69","19.7","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4714","BOA2","2023-07-18","1","094","DSS","N","E","187629","TANDES","Tangara desmaresti","ficau cerca de 20 min na Hotbox e saue volando","0","0","0","1","1","1","1","G","FCF","L","U","U","0","E","68","18.3","","","","","","","","PONTIAGUDA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4715","BOA2","2023-07-18","1","094","DSS","N","E","187630","TANDES","Tangara desmaresti","","0","0","0","1","0","1","0","N","DCB","P","U","U","0","N","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4716","BOA2","2023-07-18","1","094","DSS","N","E","187631","TANDES","Tangara desmaresti","","0","0","0","1","0","1","5","N","DCB","P","U","U","0","N","73","19.3","","","","","","","","TRUNCADA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4717","BOA2","2023-07-18","17","094","DSS","N","U","9999","PLAMYS","Platyrinchus mystaceus","ESCAPO ANTES DO PROCESAMENTO","U","U","0","U","U","U","U","U","NA","NA","U","U","U","N","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4718","BOA2","2023-07-18","9","113","AYR","N","U","9999","MYIATR","Myiobius atricaudus","LIBERADO NA REDE POR INICIO DE SENAIS DE ESTRESE","U","U","0","U","U","U","U","U","NA","NA","U","U","U","N","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4719","BOA2","2023-07-18","12","141","CAR","N","F","84550","TRIMEL","Trichothraupis melanops","","0","0","0","2","0","1","5","N","DCB","P","F","P","0","N","83","24.1","","O","","","","","","TRUNCADA","","","","","","","","","","","","","","","","","","","","","","","","","247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4720","BOA3","2023-07-26","5","063","AYR","R","C","103245","CORDEL","Corythopis delalandi","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4721","BOA2","2023-07-18","20","094","FJC","R","F","84545","TACCOR","Tachyphonus coronatus","Comissura labial = retida
algumas penas juvenis retidas no corpo","0","0","0","3","1","1","5","C","FCF","P","M","P","0","N","80","NA","","","","","","","","","","","","","","orange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4722","BOA2","2023-07-19","7","163","VAG","R","E","150919","CHICAU","Chiroxiphia caudata","","0","0","0","2","1","1","5","G","FCF","L","F","P","0","N","74","27.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4723","BOA3","2023-07-26","18","071","PAT","R","F","46881","TACCOR","Tachyphonus coronatus","","0","0","0","2","0","1","5","N","MFCF","O","M","P","0","N","83","32.1","","P","","","","","","","","","","","","ORANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4724","BOA3","2023-07-26","8","074","PAT","R","E","127748","SCHVIR","Schiffornis virescens","uma pluma branca de médias coberteiras em cada asa","0","0","0","0","0","1","5","N","MFCF","P","U","U","0","N","79","23.9","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4725","BOA2","2023-07-19","1","170","FJC","R","F","46870","TRIMEL","Trichothraupis melanops","liberado antes de finalizar processamento devido ao anoitecer","0","0","0","2","1","0","NA","G","FCF","L","F","P","0","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4726","BOA3","2023-07-26","8","065","PAT","R","D","132396","TROMUS","Troglodytes musculus","","0","0","0","1","0","1","5","N","DCB","O","U","U","0","N","51","12.0","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4727","BOA3","2023-07-26","14","080","PAT","R","D","133896","NEOCHR","Neopelma chrysolophum","","0","0","0","0","0","1","5","N","DCB","P","U","U","0","N","67","13.4","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4728","BOA3","2023-07-26","8","085","VAG","R","H","93918","TURLEU","Turdus leucomelas","","0","0","0","1","0","1","5","N","DCB","O","U","U","0","N","116","65.8","","P","","","","","","TRUNCADA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4729","BOA3","2023-07-26","8","085","LFR","R","F","38224","TRIMEL","Trichothraupis melanops","","0","0","0","0","0","1","U","N","DCB","P","M","P","0","N","79","20.8","","","70","","","","","","","","","","","YELLOW","","","","","","","","","","","","","","","","","","","249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4730","BOA3","2023-07-26","9","085","LFR","R","D","169815","ILIMIL","Ilicura militaris","","0","0","0","1","0","0","3","N","DCB","P","F","P","0","N","59","12.9","","","","33","","","","","PALEYELLOW","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4731","BOA3","2023-07-26","3","085","AYR","R","E","128771","SCHVIR","Schiffornis virescens","","0","0","0","0","0","1","5","N","MFCF","P","U","U","0","N","80","23.6","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4732","BOA3","2023-07-26","5","095","AYR","R","C","134153","PHYVIR","Phyllomyias virescens","escapou antes de finalizar o processamento ","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4733","BOA3","2023-07-26","3","092","AYR","N","C","110633","PLAMYS","Platyrinchus mystaceus","suspeita DCB","0","0","0","0","U","1","5","U","MFCF","P","F","P","0","N","53","8.2","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
